bench,taffo_conf,scale,fpu_conf,arch,hw_float_support,hw_fixed_support,dynamic_pwr,time,sim_time,energy,hw_sw_config,rel_err_run,float_type_equivalent,mantissa,rel_err_sim,output_size,float_op_count_default,kernel_float_op_count_default,var_max,compile_time,lut,ff,dsp,energy_per_op,rel_err_pred,rel_err_pred_formal,fix_err_eq_fl_err,energy_pred,lut_share,ff_share,dsp_share,max_area_share,ml_error,energy_gain_rel,time_gain_rel,error_gain_rel,lut_gain_rel,ff_gain_rel,dsp_gain_rel,canon_arch,target_err,in_sim,in_pred,err_lt_target,min_dist,rel_err_diff,energy_diff,lut_diff,ff_diff,dsp_diff
jacobi-2d,fixed,2,float19,float19_IMFZm,1,1,0.051,3129400000.0,4086.318409042,159599400.0,float19_IMFZm_fixed,0.000768730017319,float19,11,0.0003600119339321,225,18250,16900,32.133335,1143.482666015625,10351.0,7317.0,6.0,13096.679316888043,0.0068542703351464,9.5367431640625e-07,16777216.0,239014397.5332068,0.1632649842271293,0.0577050473186119,0.025,0.1632649842271293,0.0006923879544452,0.7385875986233342,0.5648022813001967,3488.461124863744,0.9656684392200764,0.9746902890635408,0.6,IMZmFfloat19,0.01,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,2,noFPU,noFPU_IMZm,0,1,0.056,3055480000.0,4709.867302532,171106880.0,noFPU_IMZm_fixed,4.321674772654085e-06,float32,24,4.321700770065112e-06,225,18250,16900,32.133335,1070.129150390625,8342.0,5761.0,4.0,14138.862944162436,2.712673611111107e-07,0.0078125,2048.0,258034248.73096445,0.131577287066246,0.0454337539432176,0.0166666666666666,0.131577287066246,1.0897963181628338e-05,0.7918414455638995,0.5514610067320014,19.61155945397673,0.778244239201418,0.7674170773944319,0.4,IMZm,0.001,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,2,noFPU,noFPU_IM,0,0,0.056,3571620000.0,5502.993928685,200010720.0,noFPU_IM_fixed,4.321674772654085e-06,float32,24,4.321700770065112e-06,225,18250,16900,32.133335,1070.129150390625,7936.0,5725.0,4.0,17954.5875,2.712673611111107e-07,0.0078125,2048.0,327671221.875,0.125173501577287,0.0451498422712933,0.0166666666666666,0.125173501577287,1.0897963181628338e-05,0.9256014582994928,0.6446153013157182,19.61155945397673,0.7403675716018285,0.7626215532169974,0.4,IM,0.001,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,2,float19,float19_IMFZm,1,1,0.051,3129400000.0,4086.318409042,159599400.0,float19_IMFZm_fixed,0.000768730017319,float19,11,0.0003600119339321,225,18250,16900,32.133335,1143.482666015625,10351.0,7317.0,6.0,13096.679316888043,0.0068542703351464,9.5367431640625e-07,16777216.0,239014397.5332068,0.1632649842271293,0.0577050473186119,0.025,0.1632649842271293,0.0006923879544452,0.7385875986233342,0.5648022813001967,3488.461124863744,0.9656684392200764,0.9746902890635408,0.6,IMZmFfloat19,0.001,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,2,float24,float24_IMFZm,1,1,0.053,3129400000.0,4226.238391739,165858200.0,float24_IMFZm_fixed,2.814398115866165e-05,float24,16,1.6061918991765334e-05,225,18250,16900,32.133335,1053.6494140625,10699.0,7388.0,6.0,13394.331119544591,0.0001388888888888,3.0517578125e-05,524288.0,244446542.9316888,0.1687539432176656,0.0582649842271293,0.025,0.1687539432176656,0.0001402446692199,0.7675518181771904,0.5648022813001967,127.71607971456044,0.998134154305439,0.9841481284134808,0.6,IMZmFfloat24,0.0001,1,0,False,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,2,float32,float32_IMFZm,1,1,0.055,3129400000.0,4333.84719801,172117000.0,float32_IMFZm_fixed,4.322879608047314e-06,float32,24,4.321700770065112e-06,225,18250,16900,32.133335,1070.129150390625,11192.0,7543.0,10.0,13989.634724857686,2.712673611111107e-07,0.0078125,2048.0,255310833.7286528,0.1765299684542586,0.05948738170347,0.0416666666666666,0.1765299684542586,1.0897963181628338e-05,0.7965160377310466,0.5648022813001967,19.6170269410482,1.044127250676369,1.0047955241774345,1.0,IMZmFfloat32,0.0001,0,1,True,1.9066365374326317,0.15359872449022358,1.0377358490566038,1.0460790728105431,1.020979967514889,1.6666666666666667
jacobi-2d,fixed,2,noFPU,noFPU_IMZm,0,1,0.056,3055480000.0,4709.867302532,171106880.0,noFPU_IMZm_fixed,4.321674772654085e-06,float32,24,4.321700770065112e-06,225,18250,16900,32.133335,1070.129150390625,8342.0,5761.0,4.0,14138.862944162436,2.712673611111107e-07,0.0078125,2048.0,258034248.73096445,0.131577287066246,0.0454337539432176,0.0166666666666666,0.131577287066246,1.0897963181628338e-05,0.7918414455638995,0.5514610067320014,19.61155945397673,0.778244239201418,0.7674170773944319,0.4,IMZm,0.0001,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,2,noFPU,noFPU_IM,0,0,0.056,3571620000.0,5502.993928685,200010720.0,noFPU_IM_fixed,4.321674772654085e-06,float32,24,4.321700770065112e-06,225,18250,16900,32.133335,1070.129150390625,7936.0,5725.0,4.0,17954.5875,2.712673611111107e-07,0.0078125,2048.0,327671221.875,0.125173501577287,0.0451498422712933,0.0166666666666666,0.125173501577287,1.0897963181628338e-05,0.9256014582994928,0.6446153013157182,19.61155945397673,0.7403675716018285,0.7626215532169974,0.4,IM,0.0001,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,float,2,float32,float32_IMF,1,0,0.039,5540700000.0,4818.524546612,216087300.0,float32_IMF_float,2.2036364740886309e-07,float32,24,1.717609403390211e-07,225,18250,16900,32.133335,,10719.0,7507.0,10.0,26569.725,2.712673611111107e-07,8.680555555555542e-06,2048.0,484897481.25,0.1690694006309148,0.0592034700315457,0.0416666666666666,0.1690694006309148,4.3972408545223006e-07,1.0,1.0,1.0,1.0,1.0,1.0,IMFfloat32,1e-05,0,1,True,4.511818246877801,0.05099033569190363,1.2628790846984062,1.284943658595061,1.3030723832667939,2.5
jacobi-2d,fixed,2,noFPU,noFPU_IMZm,0,1,0.056,3055480000.0,4709.867302532,171106880.0,noFPU_IMZm_fixed,4.321674772654085e-06,float32,24,4.321700770065112e-06,225,18250,16900,32.133335,1070.129150390625,8342.0,5761.0,4.0,14138.862944162436,2.712673611111107e-07,0.0078125,2048.0,258034248.73096445,0.131577287066246,0.0454337539432176,0.0166666666666666,0.131577287066246,1.0897963181628338e-05,0.7918414455638995,0.5514610067320014,19.61155945397673,0.778244239201418,0.7674170773944319,0.4,IMZm,1e-05,1,0,False,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,2,noFPU,noFPU_IM,0,0,0.056,3571620000.0,5502.993928685,200010720.0,noFPU_IM_fixed,4.321674772654085e-06,float32,24,4.321700770065112e-06,225,18250,16900,32.133335,1070.129150390625,7936.0,5725.0,4.0,17954.5875,2.712673611111107e-07,0.0078125,2048.0,327671221.875,0.125173501577287,0.0451498422712933,0.0166666666666666,0.125173501577287,1.0897963181628338e-05,0.9256014582994928,0.6446153013157182,19.61155945397673,0.7403675716018285,0.7626215532169974,0.4,IM,1e-05,1,0,False,0.0,1.0,1.0,1.0,1.0,1.0
seidel-2d,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.049,4777780000.0,7397.619529377,234111220.0,bfloat16_IMFZm_fixed,0.0046195604235239,bfloat16,8,0.0030940997034472,400,30360,29160,2566.399902,1038.35693359375,10431.0,7288.0,4.0,12505.559772296016,0.0399999999999999,1.195073082111776e-06,134217728.0,379668794.6869071,0.1645268138801262,0.0574763406940063,0.0166666666666666,0.1645268138801262,0.0057128623813421,0.6778242011539889,0.5394927315307259,82877.58451717922,0.9731318219983208,0.9708272279206074,0.4,IMZmFbfloat16,0.01,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
